Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1210000077,1235000013,1230000026,960818893.2,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2461666315,4338907579,4766127272,5704202651,6814753581,8166077622,10153609068,10624133954,NaN
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1924242456,1965384581,2173750016,2156624896,2126000000,2335124992,2101624960,1139166679,709452572.7,1228071037,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9097856196,10831224735,12294892535,NaN
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723637620,2434766866,2001460839,2703004010,2909340115,3136284385,3039859268,3370870461,3852147113,4257253358,4863487557,5077222330,6761786484,8715106129,13209713770,15557934473,17728348385,20971901063,26364491675,33243421339,42345276288,44348670724,45207090668,48801372228,53698280323,57937867717,63696299985,66742269090,59089065517,55631488294,62045098370,45715368144,48003297249,49946456681,42542573602,41764054035,46941496308,48177861891,48187780126,48640613515,54790058957,55180990396,57053038888,68018606041,85013944728,1.02E+11,1.16E+11,1.36E+11,1.67E+11,NaN
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Andorra,ADO,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78617384.92,89407545.71,113415434.7,150841002.3,186557452.4,220113169.6,227284807.6,253997563.2,308021374,411549109.4,446378267.6,388982630,375914655.1,327850097.5,330072746.5,346742680.6,481996310.1,611300282,721425543.3,795489182.9,1028989230,1106891178,1209991993,1007090917,1017544918,1178745310,1224023945,1180646525,1211953847,1239840382,1133643869,1264760047,1456198365,1917948612,2322163243,2539758991,2823503584,3245411028,NaN,NaN
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6804278063,6355849179,7383121654,7975234067,9283054576,10260193361,12193746625,5779394292,5285600050,4059577145,5039534776,7526446606,7675412589,6445192204,6154480287,9129180361,8936023212,11431738445,13956268299,19775218958,30632364954,45163239832,59263421375,84944837899,NaN
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66144443.28,74855554.23,92240739.11,110066664.7,124462954.8,137951855.3,153270373.6,173511108,201862965.3,245896292,286474069,338696290.3,373403703,391570363.5,410388899.4,423762955.5,456537023,500088880.1,494185188.3,541074082.3,579851829.8,620037014.2,651851840.3,664174062.3,696251839.6,713533320.7,753107394.1,814633318.9,868492577.3,1003411093,1154792572,1217059259,NaN
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,24450604879,18272123663,25605249379,28344705968,28630474726,24256667555,26436857248,31256284545,31584210365,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.04E+11,79092001998,88416668900,1.11E+11,1.11E+11,1.26E+11,76636898036,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,1.02E+11,1.30E+11,1.53E+11,1.83E+11,2.14E+11,2.62E+11,3.28E+11,NaN
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900436759,6384457744,9206277479,11916564696,NaN
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,872067008,958659200,1083240192,1245810048,1320670336,1379888256,1531843584,1665363072,1722905088,1858659200,1898882688,1911173248,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,25440698846,26738716542,29798409676,32038302161,35917795946,40470377422,44279314593,50973130841,62550928892,87126013265,95215075789,1.03E+11,1.08E+11,1.16E+11,1.32E+11,1.47E+11,1.74E+11,1.90E+11,1.74E+11,1.90E+11,1.77E+11,1.78E+11,1.85E+11,2.32E+11,2.95E+11,3.06E+11,3.21E+11,3.20E+11,3.08E+11,3.18E+11,3.61E+11,3.93E+11,4.27E+11,3.92E+11,3.81E+11,4.05E+11,3.70E+11,3.85E+11,4.55E+11,5.98E+11,6.75E+11,7.24E+11,8.21E+11,1.02E+12,NaN
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693760,7311749632,7756110336,8374175232,9169984512,9994071040,10887682048,11579431936,12440626176,13582798848,15261286055,17728659544,21899279719,29300934711,34933524735,39768033499,42647695022,51144950462,61554723775,73407514153,81467453733,70500172801,70682423167,71496782595,67403411045,68781058792,98203605228,1.23E+11,1.32E+11,1.32E+11,1.65E+11,1.72E+11,1.93E+11,1.88E+11,2.01E+11,2.38E+11,2.34E+11,2.07E+11,2.12E+11,2.11E+11,1.91E+11,1.90E+11,2.06E+11,2.52E+11,2.89E+11,3.04E+11,3.23E+11,3.71E+11,4.14E+11,NaN
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8858005770,8792366007,4991350587,3973027198,3313739769,3052467464,3176749638,3962710128,4446396425,4581222439,5272617117,5707618203,6236086750,7275766021,8680511742,13238628144,20982270733,33049380918,46134620053,NaN
