ccode	year	gdp_c2000	gdp_current	gdp_pcppp_c2000	gdp_pcppp_current
"ABW"	1976				
"ABW"	1977				
"ABW"	1978				
"ABW"	1979				
"ABW"	1980				
"ABW"	1981				
"ABW"	1982				
"ABW"	1983				
"ABW"	1984				
"ABW"	1985				
"ABW"	1986				
"ABW"	1987				
"ABW"	1988				
"ABW"	1989				
"ABW"	1990				
"ABW"	1991		8.720e+08		
"ABW"	1992		9.590e+08		
"ABW"	1993		1.080e+09		
"ABW"	1994		1.250e+09		
"ABW"	1995		1.320e+09		
"ABW"	1996		1.380e+09		
"ABW"	1997		1.530e+09		
"ABW"	1998		1.670e+09		
"ABW"	1999		1.730e+09		
"ABW"	2000		1.860e+09		
"ABW"	2001		1.890e+09		
"ABW"	2002		1.880e+09		
"ABW"	2003				
"ABW"	2004				
"ADO"	1976				
"ADO"	1977				
"ADO"	1978				
"ADO"	1979				
"ADO"	1980				
"ADO"	1981				
"ADO"	1982				
"ADO"	1983				
"ADO"	1984				
"ADO"	1985				
"ADO"	1986				
"ADO"	1987				
"ADO"	1988				
"ADO"	1989				
"ADO"	1990				
"ADO"	1991				
"ADO"	1992				
"ADO"	1993				
"ADO"	1994				
"ADO"	1995				
"ADO"	1996				
"ADO"	1997				
"ADO"	1998				
"ADO"	1999				
"ADO"	2000				
"ADO"	2001				
"ADO"	2002				
"ADO"	2003				
"ADO"	2004				
"AFG"	1976		2.560e+09		
"AFG"	1977		2.950e+09		
"AFG"	1978		3.300e+09		
"AFG"	1979		3.700e+09		
"AFG"	1980		3.640e+09		
"AFG"	1981		3.480e+09		
"AFG"	1982				
"AFG"	1983				
"AFG"	1984				
"AFG"	1985				
"AFG"	1986				
"AFG"	1987				
"AFG"	1988				
"AFG"	1989				
"AFG"	1990				
"AFG"	1991				
"AFG"	1992				
"AFG"	1993				
"AFG"	1994				
"AFG"	1995				
"AFG"	1996				
"AFG"	1997				
"AFG"	1998				
"AFG"	1999				
"AFG"	2000				
"AFG"	2001		2.460e+09		
"AFG"	2002		4.040e+09		
"AFG"	2003		4.600e+09		
"AFG"	2004		5.760e+09		
"AGO"	1976				
"AGO"	1977				
"AGO"	1978				
"AGO"	1979				
"AGO"	1980	6.750e+09			
"AGO"	1981	6.320e+09			
"AGO"	1982	6.320e+09			
"AGO"	1983	6.580e+09			
"AGO"	1984	6.980e+09			
"AGO"	1985	7.220e+09	6.800e+09	1996.999	1391.188
"AGO"	1986	7.420e+09	6.360e+09	1989.232	1416.67
"AGO"	1987	8.010e+09	7.380e+09	2053.027	1502.473
"AGO"	1988	8.460e+09	7.980e+09	2385.939	1806.003
"AGO"	1989	8.490e+09	9.280e+09	2328.77	1829.615
"AGO"	1990	8.460e+09	1.030e+10	2395.528	1954.859
"AGO"	1991	8.360e+09	1.220e+10	2261.63	1910.114
"AGO"	1992	7.790e+09	5.780e+09	2714.37	2345.277
"AGO"	1993	5.860e+09	5.290e+09	1968.215	1739.652
"AGO"	1994	6.070e+09	4.060e+09	2537.71	2290.32
"AGO"	1995	6.700e+09	5.040e+09	1782.656	1641.681
"AGO"	1996	7.450e+09	7.530e+09	1806.839	1695.629
"AGO"	1997	8.040e+09	7.680e+09	1778.041	1696.476
"AGO"	1998	8.580e+09	6.450e+09	1906.957	1839.693
"AGO"	1999	8.860e+09	6.150e+09	2031.097	1987.766
"AGO"	2000	9.130e+09	9.130e+09	1911.589	1911.589
"AGO"	2001	9.420e+09	8.940e+09	1894.182	1939.282
"AGO"	2002	1.080e+10	1.080e+10	2046.961	2127.966
"AGO"	2003	1.110e+10	1.380e+10	2022.128	2140.519
"AGO"	2004	1.240e+10	2.010e+10	2135.785	2307.752
"ALB"	1976				
"ALB"	1977				
"ALB"	1978				
"ALB"	1979				
"ALB"	1980	2.840e+09			
"ALB"	1981	3.000e+09			
"ALB"	1982	3.090e+09			
"ALB"	1983	3.130e+09			
"ALB"	1984	3.090e+09	1.920e+09	3398.569	2297.066
"ALB"	1985	3.140e+09	1.970e+09	3392.118	2363.083
"ALB"	1986	3.320e+09	2.170e+09	3515.582	2503.69
"ALB"	1987	3.290e+09	2.160e+09	3419.374	2502.411
"ALB"	1988	3.250e+09	2.130e+09	3304.519	2501.309
"ALB"	1989	3.560e+09	2.340e+09	3517.958	2763.911
"ALB"	1990	3.220e+09	2.100e+09	3145.942	2567.232
"ALB"	1991	2.340e+09	1.140e+09	2309.515	1950.557
"ALB"	1992	2.170e+09	7.100e+08	2190.901	1892.988
"ALB"	1993	2.380e+09	1.230e+09	2339.815	2068.1
"ALB"	1994	2.600e+09	1.990e+09	2557.844	2308.49
"ALB"	1995	2.830e+09	2.420e+09	2774.997	2555.547
"ALB"	1996	3.090e+09	3.010e+09	3068.321	2879.468
"ALB"	1997	2.780e+09	2.160e+09	2782.359	2654.721
"ALB"	1998	3.130e+09	2.740e+09	3133.768	3023.229
"ALB"	1999	3.440e+09	3.450e+09	3472.821	3398.733
"ALB"	2000	3.690e+09	3.690e+09	3688.651	3688.651
"ALB"	2001	3.980e+09	4.100e+09	3917.116	4010.381
"ALB"	2002	4.160e+09	4.500e+09	4105.439	4267.906
"ALB"	2003	4.410e+09	5.710e+09	4321.712	4574.737
"ALB"	2004	4.690e+09	7.590e+09	4578.719	4947.385
"ANT"	1976				
"ANT"	1977				
"ANT"	1978				
"ANT"	1979				
"ANT"	1980		9.860e+08		
"ANT"	1981		1.120e+09		
"ANT"	1982		1.180e+09		
"ANT"	1983		1.200e+09		
"ANT"	1984		1.180e+09		
"ANT"	1985		1.170e+09		
"ANT"	1986				
"ANT"	1987				
"ANT"	1988				
"ANT"	1989				
"ANT"	1990				
"ANT"	1991				
"ANT"	1992				
"ANT"	1993				
"ANT"	1994				
"ANT"	1995				
"ANT"	1996				
"ANT"	1997				
"ANT"	1998				
"ANT"	1999				
"ANT"	2000				
"ANT"	2001				
"ANT"	2002				
"ANT"	2003				
"ANT"	2004				
"ARE"	1976	2.680e+10	1.290e+10	45141.38	18126.66
"ARE"	1977	3.140e+10	1.620e+10	44284.27	18910.71
"ARE"	1978	3.070e+10	1.560e+10	36256.91	16570.66
"ARE"	1979	3.830e+10	2.090e+10	38096.18	18857.61
"ARE"	1980	4.850e+10	2.960e+10	45456.27	24544.43
"ARE"	1981	4.990e+10	3.290e+10	45033.29	26599.91
"ARE"	1982	4.570e+10	3.080e+10	38796.01	24311.49
"ARE"	1983	4.330e+10	2.790e+10	35077.63	22850.64
"ARE"	1984	4.530e+10	2.770e+10	35047.91	23688.61
"ARE"	1985	4.230e+10	2.700e+10	29761.31	20732.9
"ARE"	1986	3.440e+10	2.170e+10	23687.23	16869.32
"ARE"	1987	3.650e+10	2.380e+10	23952.38	17529.15
"ARE"	1988	3.560e+10	2.370e+10	21804.8	16504.83
"ARE"	1989	4.040e+10	2.750e+10	23406.89	18389.8
"ARE"	1990	4.750e+10	3.410e+10	25784.21	21041.09
"ARE"	1991	4.760e+10	3.440e+10	24432.75	20635.27
"ARE"	1992	4.890e+10	3.590e+10	23723.53	20497.66
"ARE"	1993	4.850e+10	3.600e+10	22231.93	19650.21
"ARE"	1994	4.950e+10	3.670e+10	20591.36	18583.99
"ARE"	1995	5.260e+10	4.000e+10	19617.61	18066.22
"ARE"	1996	5.790e+10	4.460e+10	20823.62	19541.94
"ARE"	1997	5.910e+10	4.930e+10	21430.69	20447.58
"ARE"	1998	5.990e+10	4.650e+10	20010.79	19304.94
"ARE"	1999	6.260e+10	5.500e+10		
"ARE"	2000	7.030e+10	7.030e+10		
"ARE"	2001	7.270e+10	6.920e+10		
"ARE"	2002	7.400e+10	7.100e+10		
"ARE"	2003				
"ARE"	2004				
"ARG"	1976	1.810e+11	5.120e+10	10495.95	4214.68
"ARG"	1977	1.940e+11	5.680e+10	11145.5	4759.461
"ARG"	1978	1.850e+11	5.810e+10	10471.86	4786.001
"ARG"	1979	2.040e+11	6.930e+10	11403.81	5644.889
"ARG"	1980	2.120e+11	7.700e+10	11695.61	6315.127
"ARG"	1981	2.000e+11	7.870e+10	11024.6	6511.925
"ARG"	1982	1.900e+11	8.430e+10	10722.23	6719.079
"ARG"	1983	1.980e+11	1.040e+11	10931.26	7120.957
"ARG"	1984	2.020e+11	7.910e+10	10947.24	7399.153
"ARG"	1985	1.870e+11	8.810e+10	9987.85	6957.931
"ARG"	1986	2.010e+11	1.060e+11	10526.63	7496.746
"ARG"	1987	2.070e+11	1.090e+11	10699.68	7830.38
"ARG"	1988	2.020e+11	1.270e+11	10260.48	7766.523
"ARG"	1989	1.870e+11	7.660e+10	9791.198	7692.529
"ARG"	1990	1.820e+11	1.410e+11	9061.508	7394.602
"ARG"	1991	2.050e+11	1.900e+11	9965.348	8416.476
"ARG"	1992	2.300e+11	2.290e+11	10740.27	9279.837
"ARG"	1993	2.430e+11	2.370e+11	11158.78	9862.949
"ARG"	1994	2.580e+11	2.570e+11	11679.46	10540.88
"ARG"	1995	2.500e+11	2.580e+11	11251.91	10362.09
"ARG"	1996	2.640e+11	2.720e+11	11757.79	11034.1
"ARG"	1997	2.860e+11	2.930e+11	12578.4	12001.38
"ARG"	1998	2.970e+11	2.990e+11	12963.98	12506.7
"ARG"	1999	2.870e+11	2.840e+11	12410.04	12145.29
"ARG"	2000	2.840e+11	2.840e+11	12185.22	12185.22
"ARG"	2001	2.720e+11	2.690e+11	11560.37	11835.62
"ARG"	2002	2.420e+11	1.020e+11	10134.13	10535.17
"ARG"	2003	2.640e+11	1.300e+11	10920.35	11559.71
"ARG"	2004	2.870e+11	1.520e+11	11775.31	12723.42
"ARM"	1976				
"ARM"	1977				
"ARM"	1978				
"ARM"	1979				
"ARM"	1980				
"ARM"	1981				
"ARM"	1982				
"ARM"	1983				
"ARM"	1984				
"ARM"	1985				
"ARM"	1986				
"ARM"	1987				
"ARM"	1988				
"ARM"	1989				
"ARM"	1990	2.820e+09	2.260e+09	3341.273	2726.63
"ARM"	1991	2.490e+09	2.070e+09	2857.156	2413.081
"ARM"	1992	1.450e+09	1.270e+09	2009.523	1736.273
"ARM"	1993	1.320e+09	1.200e+09	1694.146	1497.41
"ARM"	1994	1.390e+09	1.320e+09	1668.154	1505.533
"ARM"	1995	1.490e+09	1.470e+09	1814.853	1671.332
"ARM"	1996	1.570e+09	1.600e+09	1895.72	1779.04
"ARM"	1997	1.630e+09	1.640e+09	1927.542	1839.118
"ARM"	1998	1.750e+09	1.890e+09	2155.068	2079.051
"ARM"	1999	1.800e+09	1.850e+09	2257.031	2208.881
"ARM"	2000	1.910e+09	1.910e+09	2421.985	2421.985
"ARM"	2001	2.090e+09	2.120e+09	2669.166	2732.718
"ARM"	2002	2.370e+09	2.380e+09	3018.842	3138.308
"ARM"	2003	2.700e+09	2.810e+09	3467.95	3670.99
"ARM"	2004	2.970e+09	3.550e+09	3907.077	4221.664
"ASM"	1976				
"ASM"	1977				
"ASM"	1978				
"ASM"	1979				
"ASM"	1980				
"ASM"	1981				
"ASM"	1982				
"ASM"	1983				
"ASM"	1984				
"ASM"	1985				
"ASM"	1986				
"ASM"	1987				
"ASM"	1988				
"ASM"	1989				
"ASM"	1990				
"ASM"	1991				
"ASM"	1992				
"ASM"	1993				
"ASM"	1994				
"ASM"	1995				
"ASM"	1996				
"ASM"	1997				
"ASM"	1998				
"ASM"	1999				
"ASM"	2000				
"ASM"	2001				
"ASM"	2002				
"ASM"	2003				
"ASM"	2004				
"ATG"	1976				
"ATG"	1977	2.230e+08	66144444	3607.352	1540.447
"ATG"	1978	2.320e+08	74855552	3790.965	1732.602
"ATG"	1979	2.490e+08	92240736	4147.07	2052.8
"ATG"	1980	2.710e+08	1.100e+08	4476.012	2416.855
"ATG"	1981	2.820e+08	1.250e+08	4667.958	2757.234
"ATG"	1982	2.820e+08	1.380e+08	4712.028	2952.79
"ATG"	1983	2.950e+08	1.530e+08	4816.019	3137.302
"ATG"	1984	3.240e+08	1.740e+08	5246.368	3545.978
"ATG"	1985	3.500e+08	2.020e+08	5710.657	3978.269
"ATG"	1986	3.950e+08	2.460e+08	7394.866	5266.398
"ATG"	1987	4.270e+08	2.870e+08	7891.014	5774.904
"ATG"	1988	4.500e+08	3.390e+08	7796.871	5901.73
"ATG"	1989	4.760e+08	3.730e+08	8460.805	6647.295
"ATG"	1990	4.880e+08	3.920e+08	8612.781	7028.421
"ATG"	1991	4.980e+08	4.100e+08	8405.198	7098.814
"ATG"	1992	5.030e+08	4.240e+08	8366.657	7228.98
"ATG"	1993	5.300e+08	4.570e+08	8601.961	7603.042
"ATG"	1994	5.630e+08	5.000e+08	9139.693	8248.704
"ATG"	1995	5.400e+08	4.940e+08	8735.27	8044.472
"ATG"	1996	5.760e+08	5.410e+08	9323.225	8749.386
"ATG"	1997	6.040e+08	5.800e+08	9571.715	9132.623
"ATG"	1998	6.310e+08	6.200e+08	9468.716	9134.724
"ATG"	1999	6.570e+08	6.520e+08	9889.605	9678.626
"ATG"	2000	6.790e+08	6.790e+08	10021.81	10021.81
"ATG"	2001	6.890e+08	7.100e+08	9402.574	9626.446
"ATG"	2002	7.040e+08	7.270e+08	9731.304	10116.4
"ATG"	2003	7.380e+08	7.590e+08	9913.669	10494.09
"ATG"	2004	7.690e+08	8.030e+08	10095.15	10907.99
"AUS"	1976	1.820e+11	1.120e+11	16131.44	6477.628
"AUS"	1977	1.830e+11	1.110e+11	16170.9	6905.456
"AUS"	1978	1.930e+11	1.290e+11	16758.19	7659.071
"AUS"	1979	1.980e+11	1.440e+11	17051.46	8440.475
"AUS"	1980	2.040e+11	1.660e+11	17257.25	9318.175
"AUS"	1981	2.110e+11	1.930e+11	17807.73	10518.53
"AUS"	1982	2.050e+11	1.830e+11	16859.11	10564.75
"AUS"	1983	2.160e+11	1.840e+11	17596.63	11462.98
"AUS"	1984	2.270e+11	1.980e+11	18374.84	12419.41
"AUS"	1985	2.360e+11	1.740e+11	18877.34	13150.7
"AUS"	1986	2.420e+11	1.820e+11	18930.71	13481.88
"AUS"	1987	2.550e+11	2.180e+11	19724.21	14434.83
"AUS"	1988	2.650e+11	2.750e+11	20289.15	15357.58
"AUS"	1989	2.750e+11	3.040e+11	20779.24	16325.37
"AUS"	1990	2.740e+11	3.110e+11	20608.2	16817.23
"AUS"	1991	2.750e+11	3.170e+11	20273.29	17122.3
"AUS"	1992	2.850e+11	3.130e+11	20644.59	17837.39
"AUS"	1993	2.960e+11	3.040e+11	21184.62	18724.52
"AUS"	1994	3.090e+11	3.450e+11	22036.78	19888.51
"AUS"	1995	3.220e+11	3.730e+11	22708.52	20912.7
"AUS"	1996	3.340e+11	4.150e+11	23174.67	21748.28
"AUS"	1997	3.490e+11	4.170e+11	23824	22731.1
"AUS"	1998	3.680e+11	3.720e+11	24767.9	23894.26
"AUS"	1999	3.810e+11	4.040e+11	25353.44	24812.56
"AUS"	2000	3.890e+11	3.890e+11	25569.06	25569.06
"AUS"	2001	4.040e+11	3.700e+11	26234.63	26859.27
"AUS"	2002	4.150e+11	4.090e+11	26619.29	27672.71
"AUS"	2003	4.310e+11	5.220e+11	27338.84	28939.46
"AUS"	2004	4.440e+11	6.310e+11	27872.23	30116.42
"AUT"	1976	1.060e+11	4.170e+10	16830.93	6758.509
"AUT"	1977	1.110e+11	5.000e+10	17652.72	7538.239
"AUT"	1978	1.110e+11	6.020e+10	17599.28	8043.476
"AUT"	1979	1.160e+11	7.160e+10	18522.71	9168.746
"AUT"	1980	1.190e+11	7.950e+10	18930.96	10221.91
"AUT"	1981	1.190e+11	6.880e+10	18914.55	11172.3
"AUT"	1982	1.210e+11	6.890e+10	19263.95	12071.74
"AUT"	1983	1.250e+11	6.960e+10	19848.44	12929.88
"AUT"	1984	1.250e+11	6.570e+10	19932.96	13472.53
"AUT"	1985	1.280e+11	6.700e+10	20401.73	14212.65
"AUT"	1986	1.310e+11	9.540e+10	20875.71	14867.04
"AUT"	1987	1.330e+11	1.200e+11	21194.61	15510.91
"AUT"	1988	1.380e+11	1.280e+11	21774.48	16481.88
"AUT"	1989	1.440e+11	1.280e+11	22555.05	17720.55
"AUT"	1990	1.510e+11	1.620e+11	23308.45	19020.75
"AUT"	1991	1.560e+11	1.690e+11	24110.02	20362.71
"AUT"	1992	1.590e+11	1.900e+11	24336.59	21027.36
"AUT"	1993	1.600e+11	1.860e+11	24270.16	21451.75
"AUT"	1994	1.640e+11	1.990e+11	24822.25	22402.44
"AUT"	1995	1.670e+11	2.350e+11	25358.83	23353.42
"AUT"	1996	1.700e+11	2.310e+11	25632.44	24054.78
"AUT"	1997	1.730e+11	2.060e+11	26107.86	24910.19
"AUT"	1998	1.790e+11	2.120e+11	27107.63	26151.46
"AUT"	1999	1.840e+11	2.100e+11	27902.66	27307.4
"AUT"	2000	1.900e+11	1.900e+11	28780.69	28780.69
"AUT"	2001	1.920e+11	1.900e+11	29001.44	29691.96
"AUT"	2002	1.950e+11	2.060e+11	29014.66	30162.87
"AUT"	2003	1.960e+11	2.530e+11	29227.15	30938.32
"AUT"	2004	2.000e+11	2.900e+11	29778.13	32175.78
"AZE"	1976				
"AZE"	1977				
"AZE"	1978				
"AZE"	1979				
"AZE"	1980				
"AZE"	1981				
"AZE"	1982				
"AZE"	1983				
"AZE"	1984				
"AZE"	1985				
"AZE"	1986				
"AZE"	1987				
"AZE"	1988				
"AZE"	1989				
"AZE"	1990	8.950e+09	8.860e+09		
"AZE"	1991	8.890e+09	8.790e+09		
"AZE"	1992	6.880e+09	4.990e+09		
"AZE"	1993	5.290e+09	3.970e+09	2617.046	2313.136
"AZE"	1994	4.250e+09	3.310e+09	2076.798	1874.34
"AZE"	1995	3.750e+09	3.050e+09	1817.147	1673.445
"AZE"	1996	3.800e+09	3.180e+09	1848.254	1734.495
"AZE"	1997	4.020e+09	3.960e+09	1903.364	1816.049
"AZE"	1998	4.420e+09	4.450e+09	2075.095	2001.899
"AZE"	1999	4.750e+09	4.580e+09	2224.331	2176.878
"AZE"	2000	5.270e+09	5.270e+09	2570.944	2570.944
"AZE"	2001	5.800e+09	5.710e+09	2810.431	2877.347
"AZE"	2002	6.410e+09	6.240e+09	3095.614	3218.118
"AZE"	2003	7.120e+09	7.140e+09	3417.37	3617.448
"AZE"	2004	7.920e+09	8.520e+09	3863.52	4174.6
"BDI"	1976	4.600e+08	4.480e+08	741.5391	297.7673
"BDI"	1977	5.130e+08	5.480e+08	803.9296	343.3019
"BDI"	1978	5.080e+08	6.100e+08	780.9114	356.9034
"BDI"	1979	5.170e+08	7.830e+08	765.2408	378.7943
"BDI"	1980	5.220e+08	9.200e+08	741.3755	400.311
