	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)
VARIABLES	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc	tc
																																																																																																																																																																																																																																																																																																
ln_km		0.241***	0.225***		0.242***	0.225***		0.247***	0.225***		0.247***	0.225***		0.241***	0.225***		0.242***	0.225***		0.247***	0.225***		0.247***	0.225***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***	0	0.239***	0.222***	0	0.240***	0.222***	0	0.245***	0.222***	0	0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***
		(0.00896)	(0.00379)		(0.00892)	(0.00379)		(0.00899)	(0.00379)		(0.00903)	(0.00379)		(0.00896)	(0.00379)		(0.00892)	(0.00379)		(0.00899)	(0.00379)		(0.00903)	(0.00379)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)	(0)	(0.00893)	(0.00385)	(0)	(0.00890)	(0.00385)	(0)	(0.00897)	(0.00385)	(0)	(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)		(0.00893)	(0.00385)		(0.00890)	(0.00385)		(0.00897)	(0.00385)		(0.00900)	(0.00385)
border		-0.131***	-0.0257		-0.130***	-0.0256		-0.125**	-0.0261*		-0.125**	-0.0261*		-0.131***	-0.0257		-0.130***	-0.0256		-0.125**	-0.0261*		-0.125**	-0.0261*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*	0	-0.128***	-0.0275*	0	-0.126**	-0.0273*	0	-0.121**	-0.0278*	0	-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*		-0.128***	-0.0275*		-0.126**	-0.0273*		-0.121**	-0.0278*		-0.121**	-0.0278*
		(0.0496)	(0.0157)		(0.0495)	(0.0157)		(0.0500)	(0.0157)		(0.0502)	(0.0157)		(0.0496)	(0.0157)		(0.0495)	(0.0157)		(0.0500)	(0.0157)		(0.0502)	(0.0157)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)	(0)	(0.0493)	(0.0156)	(0)	(0.0492)	(0.0156)	(0)	(0.0497)	(0.0156)	(0)	(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)		(0.0493)	(0.0156)		(0.0492)	(0.0156)		(0.0497)	(0.0156)		(0.0499)	(0.0156)
ldlock		0.269***	0.138		0.269***	0.136		0.269***	0.139		0.270***	0.140		0.269***	0.138		0.269***	0.136		0.269***	0.139		0.270***	0.140		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479	0	0.267***	-0.0763	0	0.267***	-0.0820	0	0.267***	-0.0667	0	0.268***	-0.0664		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0763		0.267***	-0.0820		0.267***	-0.0667		0.268***	-0.0664		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479		0.267***	-0.0264		0.267***	-0.0398		0.267***	-0.00257		0.268***	-0.00479
		(0.0281)	(0.158)		(0.0280)	(0.158)		(0.0283)	(0.158)		(0.0284)	(0.158)		(0.0281)	(0.158)		(0.0280)	(0.158)		(0.0283)	(0.158)		(0.0284)	(0.158)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)	(0)	(0.0280)	(0.150)	(0)	(0.0280)	(0.150)	(0)	(0.0283)	(0.149)	(0)	(0.0284)	(0.149)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.150)		(0.0280)	(0.150)		(0.0283)	(0.149)		(0.0284)	(0.149)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)		(0.0280)	(0.208)		(0.0280)	(0.208)		(0.0283)	(0.207)		(0.0284)	(0.208)
com_lang		-0.0870***	-0.247***		-0.0871***	-0.247***		-0.0806***	-0.247***		-0.0799***	-0.247***		-0.0870***	-0.247***		-0.0871***	-0.247***		-0.0806***	-0.247***		-0.0799***	-0.247***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***	0	-0.0712***	-0.241***	0	-0.0708***	-0.241***	0	-0.0643***	-0.241***	0	-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***		-0.0712***	-0.241***		-0.0708***	-0.241***		-0.0643***	-0.241***		-0.0636***	-0.241***
		(0.0223)	(0.00908)		(0.0222)	(0.00908)		(0.0225)	(0.00906)		(0.0225)	(0.00906)		(0.0223)	(0.00908)		(0.0222)	(0.00908)		(0.0225)	(0.00906)		(0.0225)	(0.00906)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)	(0)	(0.0221)	(0.00904)	(0)	(0.0220)	(0.00905)	(0)	(0.0222)	(0.00903)	(0)	(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)		(0.0221)	(0.00904)		(0.0220)	(0.00905)		(0.0222)	(0.00903)		(0.0223)	(0.00903)
